,Alice_a,out
158,57,417.0
159,23,383.0
160,0,360.0
161,40,400.0
162,17,377.0
163,60,420.0
164,4,364.0
165,35,395.0
166,68,428.0
167,17,377.0
168,67,427.0
169,9,369.0
170,78,438.0
171,30,390.0
172,21,381.0
173,4,364.0
174,59,419.0
175,45,405.0
176,47,407.0
177,18,378.0
178,20,380.0
179,51,411.0
180,31,391.0
181,48,408.0
182,19,379.0
183,95,455.0
184,44,404.0
185,72,432.0
186,16,376.0
187,28,388.0
188,21,381.0
189,87,447.0
190,45,405.0
191,64,424.0
192,1,361.0
193,93,453.0
194,27,387.0
195,9,369.0
196,24,384.0
197,91,451.0
198,96,456.0
199,23,383.0
200,60,420.0
201,18,378.0
202,74,434.0
203,53,413.0
204,37,397.0
205,97,457.0
206,39,399.0
207,41,401.0
208,35,395.0
209,68,428.0
210,94,454.0
211,80,440.0
212,32,392.0
213,67,427.0
214,97,457.0
215,85,445.0
216,55,415.0
217,75,435.0
218,27,387.0
219,50,410.0
220,81,441.0
221,99,459.0
222,70,430.0
223,68,428.0
224,52,412.0
225,76,436.0
226,1,361.0
227,68,428.0
228,30,390.0
229,58,418.0
230,13,373.0
231,97,457.0
232,76,436.0
233,94,454.0
234,26,386.0
235,3,363.0
236,9,369.0
237,10,370.0
238,80,440.0
239,38,398.0
240,80,440.0
241,64,424.0
242,43,403.0
243,93,453.0
244,90,450.0
245,39,399.0
246,94,454.0
247,61,421.0
248,13,373.0
249,57,417.0
250,10,370.0
251,27,387.0
252,91,451.0
253,50,410.0
254,69,429.0
255,79,439.0
256,42,402.0
257,76,436.0
258,87,447.0
259,86,446.0
260,89,449.0
261,2,362.0
262,100,460.0
263,31,391.0
264,16,376.0
265,7,367.0
266,59,419.0
267,92,452.0
268,52,412.0
269,25,385.0
270,43,403.0
271,92,452.0
272,50,410.0
273,63,423.0
274,77,437.0
275,98,458.0
276,78,438.0
277,52,412.0
278,3,363.0
279,24,384.0
280,65,425.0
281,2,362.0
282,99,459.0
283,51,411.0
284,22,382.0
285,13,373.0
286,12,372.0
287,71,431.0
288,79,439.0
289,16,376.0
290,18,378.0
291,69,429.0
292,79,439.0
293,4,364.0
294,8,368.0
295,19,379.0
296,93,453.0
297,25,385.0
298,12,372.0
299,47,407.0
300,45,405.0
301,78,438.0
302,33,393.0
303,77,437.0
304,72,432.0
305,45,405.0
306,91,451.0
307,40,400.0
308,40,400.0
309,6,366.0
310,13,373.0
311,75,435.0
312,57,417.0
313,82,442.0
314,96,456.0
315,47,407.0
316,62,422.0
317,86,446.0
318,22,382.0
319,82,442.0
320,78,438.0
321,30,390.0
322,88,448.0
323,2,362.0
324,71,431.0
325,53,413.0
326,17,377.0
327,53,413.0
328,72,432.0
329,84,444.0
330,5,365.0
331,96,456.0
332,80,440.0
333,61,421.0
334,43,403.0
335,34,394.0
336,66,426.0
337,40,400.0
338,91,451.0
339,49,409.0
340,61,421.0
341,57,417.0
342,89,449.0
343,25,385.0
344,39,399.0
345,31,391.0
346,8,368.0
347,27,387.0
348,37,397.0
349,36,396.0
350,1,361.0
351,33,393.0
352,88,448.0
353,59,419.0
354,46,406.0
355,2,362.0
356,56,416.0
357,88,448.0
358,17,377.0
359,56,416.0
360,65,425.0
361,43,403.0
362,54,414.0
363,63,423.0
364,61,421.0
365,25,385.0
366,91,451.0
367,3,363.0
368,73,433.0
369,81,441.0
370,41,401.0
371,51,411.0
372,39,399.0
373,36,396.0
374,59,419.0
375,99,459.0
376,66,426.0
377,90,450.0
378,18,378.0
379,27,387.0
380,22,382.0
381,85,445.0
382,71,431.0
383,17,377.0
384,22,382.0
385,18,378.0
386,70,430.0
387,72,432.0
388,98,458.0
389,2,362.0
390,98,458.0
391,79,439.0
392,69,429.0
393,76,436.0
394,99,459.0
395,61,421.0
396,51,411.0
397,79,439.0
398,68,428.0
399,49,409.0
400,74,434.0
401,72,432.0
402,33,393.0
403,47,407.0
404,35,395.0
405,0,360.0
406,50,410.0
407,63,423.0
408,24,384.0
409,28,388.0
410,55,415.0
411,44,404.0
412,96,456.0
413,94,454.0
414,100,460.0
415,15,375.0
416,0,360.0
417,85,445.0
418,87,447.0
419,95,455.0
420,70,430.0
421,70,430.0
422,60,420.0
423,2,362.0
424,28,388.0
425,84,444.0
426,28,388.0
427,6,366.0
428,47,407.0
429,51,411.0
430,87,447.0
431,62,422.0
432,28,388.0
433,57,417.0
434,54,414.0
435,63,423.0
436,11,371.0
437,27,387.0
438,71,431.0
439,60,420.0
440,26,386.0
441,25,385.0
442,97,457.0
443,69,429.0
444,31,391.0
445,6,366.0
446,61,421.0
447,7,367.0
448,10,370.0
449,77,437.0
450,66,426.0
451,68,428.0
452,27,387.0
453,0,360.0
454,66,426.0
455,9,369.0
456,97,457.0
457,26,386.0
458,43,403.0
459,64,424.0
460,82,442.0
461,96,456.0
462,33,393.0
463,76,436.0
464,1,361.0
465,38,398.0
466,42,402.0
467,12,372.0
468,83,443.0
469,82,442.0
470,100,460.0
471,28,388.0
472,28,388.0
473,44,404.0
474,21,381.0
475,57,417.0
476,30,390.0
477,49,409.0
478,72,432.0
479,67,427.0
480,90,450.0
481,52,412.0
482,44,404.0
483,0,360.0
484,29,389.0
485,27,387.0
486,27,387.0
487,34,394.0
488,20,380.0
489,64,424.0
490,91,451.0
491,12,372.0
492,96,456.0
493,16,376.0
494,68,428.0
495,52,412.0
496,27,387.0
497,15,375.0
498,33,393.0
499,22,382.0
500,44,404.0
501,46,406.0
502,71,431.0
503,7,367.0
504,10,370.0
505,79,439.0
506,17,377.0
507,57,417.0
508,49,409.0
509,0,360.0
510,72,432.0
511,49,409.0
512,37,397.0
513,24,384.0
514,90,450.0
515,94,454.0
516,2,362.0
517,27,387.0
518,93,453.0
519,34,394.0
520,44,404.0
521,63,423.0
522,18,378.0
523,43,403.0
524,29,389.0
525,38,398.0
526,89,449.0
527,44,404.0
528,95,455.0
529,70,430.0
530,32,392.0
531,95,455.0
532,42,402.0
533,63,423.0
534,52,412.0
535,73,433.0
536,92,452.0
537,76,436.0
538,33,393.0
539,14,374.0
540,92,452.0
541,95,455.0
542,92,452.0
543,20,380.0
544,77,437.0
545,91,451.0
546,4,364.0
547,95,455.0
548,25,385.0
549,25,385.0
550,40,400.0
551,64,424.0
552,15,375.0
553,87,447.0
554,57,417.0
555,20,380.0
556,89,449.0
557,43,403.0
558,5,365.0
559,23,383.0
560,85,445.0
561,0,360.0
562,12,372.0
563,18,378.0
564,77,437.0
565,72,432.0
566,27,387.0
567,37,397.0
568,21,381.0
569,19,379.0
570,2,362.0
571,45,405.0
572,55,415.0
573,80,440.0
574,42,402.0
575,78,438.0
576,50,410.0
577,90,450.0
578,97,457.0
579,69,429.0
580,34,394.0
581,96,456.0
582,97,457.0
583,84,444.0
584,93,453.0
585,0,360.0
586,79,439.0
587,55,415.0
588,32,392.0
589,41,401.0
590,43,403.0
591,97,457.0
592,2,362.0
593,2,362.0
594,87,447.0
595,16,376.0
596,79,439.0
597,90,450.0
598,17,377.0
599,14,374.0
600,3,363.0
601,80,440.0
602,40,400.0
603,85,445.0
604,49,409.0
605,35,395.0
606,66,426.0
607,38,398.0
608,49,409.0
609,87,447.0
610,74,434.0
611,61,421.0
612,33,393.0
613,58,418.0
614,61,421.0
615,95,455.0
616,75,435.0
617,68,428.0
618,57,417.0
619,6,366.0
620,72,432.0
621,67,427.0
622,42,402.0
623,54,414.0
624,97,457.0
625,77,437.0
626,49,409.0
627,78,438.0
628,44,404.0
629,80,440.0
630,94,454.0
631,43,403.0
632,79,439.0
633,70,430.0
634,92,452.0
635,83,443.0
636,16,376.0
637,0,360.0
638,2,362.0
639,72,432.0
640,27,387.0
641,42,402.0
642,67,427.0
643,41,401.0
644,16,376.0
645,90,450.0
646,4,364.0
647,52,412.0
648,21,381.0
649,79,439.0
650,30,390.0
651,73,433.0
652,81,441.0
653,82,442.0
654,42,402.0
655,97,457.0
656,59,419.0
657,39,399.0
658,2,362.0
659,72,432.0
660,46,406.0
661,52,412.0
662,19,379.0
663,90,450.0
664,40,400.0
665,30,390.0
666,63,423.0
667,86,446.0
668,14,374.0
669,4,364.0
670,4,364.0
671,51,411.0
672,66,426.0
673,44,404.0
674,30,390.0
675,23,383.0
676,3,363.0
677,45,405.0
678,61,421.0
679,28,388.0
680,40,400.0
681,24,384.0
682,75,435.0
683,6,366.0
684,68,428.0
685,67,427.0
686,78,438.0
687,5,365.0
688,72,432.0
689,73,433.0
690,9,369.0
691,5,365.0
692,58,418.0
693,83,443.0
694,56,416.0
695,39,399.0
696,64,424.0
697,45,405.0
698,45,405.0
699,72,432.0
700,33,393.0
701,16,376.0
702,80,440.0
703,43,403.0
704,95,455.0
705,14,374.0
706,67,427.0
707,50,410.0
708,85,445.0
709,38,398.0
710,54,414.0
711,3,363.0
712,38,398.0
713,83,443.0
714,26,386.0
715,12,372.0
716,12,372.0
717,65,425.0
718,56,416.0
719,49,409.0
720,0,360.0
721,52,412.0
722,38,398.0
723,4,364.0
724,3,363.0
725,99,459.0
726,55,415.0
727,5,365.0
728,73,433.0
729,12,372.0
730,69,429.0
731,9,369.0
732,97,457.0
733,48,408.0
734,68,428.0
735,3,363.0
736,83,443.0
737,77,437.0
738,79,439.0
739,58,418.0
740,71,431.0
741,44,404.0
742,28,388.0
743,0,360.0
744,67,427.0
745,92,452.0
746,44,404.0
747,4,364.0
748,75,435.0
749,14,374.0
750,37,397.0
751,74,434.0
752,31,391.0
753,27,387.0
754,84,444.0
755,34,394.0
756,91,451.0
757,72,432.0
758,28,388.0
759,21,381.0
760,73,433.0
761,94,454.0
762,86,446.0
763,71,431.0
764,76,436.0
765,78,438.0
766,22,382.0
767,50,410.0
768,75,435.0
769,39,399.0
770,63,423.0
771,20,380.0
772,55,415.0
773,52,412.0
774,28,388.0
775,17,377.0
776,92,452.0
777,68,428.0
778,4,364.0
779,3,363.0
780,56,416.0
781,71,431.0
782,66,426.0
783,25,385.0
784,72,432.0
785,82,442.0
786,97,457.0
787,90,450.0
788,68,428.0
789,98,458.0
790,28,388.0
791,59,419.0
792,43,403.0
793,68,428.0
794,89,449.0
795,13,373.0
796,97,457.0
797,23,383.0
798,28,388.0
799,46,406.0
800,98,458.0
801,97,457.0
802,36,396.0
803,92,452.0
804,17,377.0
805,93,453.0
806,95,455.0
807,67,427.0
808,63,423.0
809,2,362.0
810,73,433.0
811,30,390.0
812,87,447.0
813,19,379.0
814,13,373.0
815,13,373.0
816,91,451.0
817,8,368.0
818,25,385.0
819,96,456.0
820,71,431.0
821,99,459.0
822,47,407.0
823,85,445.0
824,46,406.0
825,69,429.0
826,95,455.0
827,29,389.0
828,94,454.0
829,24,384.0
830,14,374.0
831,47,407.0
832,41,401.0
833,47,407.0
834,65,425.0
835,77,437.0
836,4,364.0
837,81,441.0
838,13,373.0
839,100,460.0
840,1,361.0
841,84,444.0
842,95,455.0
843,52,412.0
844,38,398.0
845,1,361.0
846,10,370.0
847,15,375.0
848,23,383.0
849,11,371.0
850,42,402.0
851,36,396.0
852,86,446.0
853,76,436.0
854,13,373.0
855,7,367.0
856,95,455.0
857,52,412.0
858,16,376.0
859,1,361.0
860,60,420.0
861,31,391.0
862,88,448.0
863,25,385.0
864,54,414.0
865,62,422.0
866,15,375.0
867,90,450.0
868,37,397.0
869,84,444.0
870,66,426.0
871,48,408.0
872,2,362.0
873,5,365.0
874,46,406.0
875,50,410.0
876,0,360.0
877,25,385.0
878,33,393.0
879,8,368.0
880,19,379.0
881,81,441.0
882,17,377.0
883,34,394.0
884,50,410.0
885,76,436.0
886,78,438.0
887,49,409.0
888,32,392.0
889,80,440.0
890,50,410.0
891,66,426.0
892,1,361.0
893,48,408.0
894,100,460.0
895,30,390.0
896,21,381.0
897,51,411.0
898,44,404.0
899,49,409.0
900,85,445.0
901,1,361.0
902,93,453.0
903,61,421.0
904,98,458.0
905,46,406.0
906,30,390.0
907,80,440.0
908,22,382.0
909,69,429.0
910,79,439.0
911,70,430.0
912,3,363.0
913,66,426.0
914,61,421.0
915,24,384.0
916,95,455.0
917,24,384.0
918,84,444.0
919,23,383.0
920,48,408.0
921,19,379.0
922,8,368.0
923,61,421.0
924,6,366.0
925,64,424.0
926,32,392.0
927,56,416.0
928,65,425.0
929,86,446.0
930,29,389.0
931,46,406.0
932,7,367.0
933,62,422.0
934,98,458.0
935,54,414.0
936,58,418.0
937,14,374.0
938,87,447.0
939,12,372.0
940,11,371.0
941,91,451.0
942,55,415.0
943,89,449.0
944,71,431.0
945,47,407.0
946,15,375.0
947,57,417.0
948,49,409.0
949,81,441.0
950,72,432.0
951,43,403.0
952,16,376.0
953,87,447.0
954,72,432.0
955,23,383.0
956,3,363.0
957,13,373.0
958,40,400.0
959,74,434.0
960,68,428.0
961,95,455.0
962,42,402.0
963,77,437.0
964,50,410.0
965,55,415.0
966,14,374.0
967,72,432.0
968,25,385.0
969,73,433.0
970,12,372.0
971,74,434.0
972,79,439.0
973,80,440.0
974,45,405.0
975,90,450.0
976,1,361.0
977,3,363.0
978,87,447.0
979,65,425.0
980,33,393.0
981,37,397.0
982,87,447.0
983,21,381.0
984,23,383.0
985,73,433.0
986,65,425.0
987,45,405.0
988,32,392.0
989,51,411.0
990,7,367.0
991,13,373.0
992,63,423.0
993,55,415.0
994,37,397.0
995,45,405.0
996,48,408.0
997,14,374.0
998,89,449.0
999,51,411.0
1000,97,457.0
1001,96,456.0
1002,50,410.0
1003,13,373.0
1004,92,452.0
1005,91,451.0
1006,3,363.0
1007,48,408.0
1008,3,363.0
1009,12,372.0
1010,65,425.0
1011,12,372.0
1012,0,360.0
1013,2,362.0
1014,86,446.0
1015,23,383.0
1016,38,398.0
1017,50,410.0
1018,92,452.0
1019,11,371.0
1020,100,460.0
1021,67,427.0
1022,90,450.0
1023,13,373.0
1024,63,423.0
1025,33,393.0
1026,74,434.0
1027,88,448.0
1028,40,400.0
1029,66,426.0
1030,94,454.0
1031,54,414.0
1032,52,412.0
1033,99,459.0
1034,5,365.0
1035,68,428.0
1036,64,424.0
1037,33,393.0
1038,96,456.0
1039,35,395.0
1040,87,447.0
1041,23,383.0
1042,41,401.0
1043,55,415.0
1044,40,400.0
1045,19,379.0
1046,47,407.0
1047,75,435.0
1048,32,392.0
1049,31,391.0
1050,34,394.0
1051,36,396.0
1052,33,393.0
1053,46,406.0
1054,63,423.0
1055,25,385.0
1056,57,417.0
1057,53,413.0
1058,42,402.0
1059,28,388.0
1060,66,426.0
1061,23,383.0
1062,25,385.0
1063,11,371.0
1064,60,420.0
1065,63,423.0
1066,95,455.0
1067,30,390.0
1068,22,382.0
1069,56,416.0
1070,7,367.0
1071,62,422.0
1072,87,447.0
1073,15,375.0
1074,58,418.0
1075,32,392.0
1076,100,460.0
1077,69,429.0
1078,46,406.0
1079,29,389.0
1080,48,408.0
1081,82,442.0
1082,94,454.0
1083,58,418.0
1084,6,366.0
1085,43,403.0
1086,57,417.0
1087,13,373.0
1088,8,368.0
1089,10,370.0
1090,55,415.0
1091,27,387.0
1092,37,397.0
1093,7,367.0
1094,0,360.0
1095,34,394.0
1096,82,442.0
1097,39,399.0
1098,79,439.0
1099,3,363.0
1100,19,379.0
1101,84,444.0
1102,30,390.0
1103,74,434.0
1104,68,428.0
1105,6,366.0
1106,87,447.0
1107,26,386.0
1108,66,426.0
1109,22,382.0
1110,95,455.0
1111,46,406.0
1112,4,364.0
1113,71,431.0
1114,82,442.0
1115,28,388.0
1116,74,434.0
1117,21,381.0
1118,87,447.0
1119,42,402.0
1120,49,409.0
1121,48,408.0
1122,69,429.0
1123,22,382.0
1124,67,427.0
1125,67,427.0
1126,9,369.0
1127,60,420.0
1128,42,402.0
1129,27,387.0
1130,21,381.0
1131,35,395.0
1132,82,442.0
1133,73,433.0
1134,74,434.0
1135,84,444.0
1136,78,438.0
1137,40,400.0
1138,29,389.0
1139,25,385.0
1140,69,429.0
1141,18,378.0
1142,56,416.0
1143,47,407.0
1144,78,438.0
1145,69,429.0
1146,3,363.0
1147,75,435.0
1148,60,420.0
1149,50,410.0
1150,96,456.0
1151,79,439.0
1152,96,456.0
1153,64,424.0
1154,0,360.0
1155,76,436.0
1156,70,430.0
1157,19,379.0
1158,45,405.0
1159,61,421.0
1160,2,362.0
1161,58,418.0
1162,54,414.0
1163,0,360.0
1164,57,417.0
1165,54,414.0
1166,11,371.0
1167,0,360.0
1168,3,363.0
1169,11,371.0
1170,94,454.0
1171,12,372.0
1172,15,375.0
1173,85,445.0
1174,2,362.0
1175,34,394.0
1176,66,426.0
1177,56,416.0
1178,99,459.0
1179,63,423.0
1180,92,452.0
1181,26,386.0
1182,74,434.0
1183,50,410.0
1184,73,433.0
1185,34,394.0
1186,95,455.0
1187,62,422.0
1188,56,416.0
1189,13,373.0
1190,44,404.0
1191,41,401.0
1192,23,383.0
1193,69,429.0
1194,11,371.0
1195,84,444.0
1196,70,430.0
1197,20,380.0
1198,29,389.0
1199,72,432.0
1200,76,436.0
1201,33,393.0
1202,43,403.0
1203,75,435.0
1204,100,460.0
1205,90,450.0
1206,83,443.0
1207,69,429.0
1208,12,372.0
1209,49,409.0
1210,43,403.0
1211,92,452.0
1212,45,405.0
1213,63,423.0
1214,64,424.0
1215,61,421.0
1216,15,375.0
1217,88,448.0
1218,51,411.0
1219,70,430.0
1220,79,439.0
1221,17,377.0
1222,89,449.0
1223,87,447.0
1224,3,363.0
1225,55,415.0
1226,54,414.0
1227,42,402.0
1228,70,430.0
1229,17,377.0
1230,26,386.0
1231,52,412.0
1232,72,432.0
1233,40,400.0
1234,66,426.0
1235,96,456.0
1236,100,460.0
1237,83,443.0
1238,23,383.0
1239,97,457.0
1240,46,406.0
1241,84,444.0
1242,9,369.0
1243,59,419.0
1244,95,455.0
1245,93,453.0
1246,30,390.0
1247,38,398.0
1248,97,457.0
1249,1,361.0
1250,20,380.0
1251,25,385.0
1252,32,392.0
1253,94,454.0
1254,26,386.0
1255,25,385.0
1256,79,439.0
1257,100,460.0
1258,11,371.0
1259,65,425.0
1260,55,415.0
1261,38,398.0
1262,3,363.0
1263,96,456.0
1264,56,416.0
1265,72,432.0
1266,30,390.0
1267,99,459.0
1268,57,417.0
1269,6,366.0
1270,57,417.0
1271,94,454.0
1272,12,372.0
1273,67,427.0
1274,83,443.0
1275,22,382.0
1276,76,436.0
1277,93,453.0
1278,65,425.0
1279,42,402.0
1280,58,418.0
1281,91,451.0
1282,46,406.0
1283,36,396.0
1284,14,374.0
1285,53,413.0
1286,69,429.0
1287,26,386.0
1288,89,449.0
1289,44,404.0
1290,6,366.0
1291,39,399.0
1292,8,368.0
1293,67,427.0
1294,6,366.0
1295,9,369.0
1296,94,454.0
1297,54,414.0
1298,12,372.0
1299,22,382.0
1300,16,376.0
1301,30,390.0
1302,61,421.0
1303,25,385.0
1304,32,392.0
1305,100,460.0
1306,16,376.0
1307,89,449.0
1308,83,443.0
1309,42,402.0
1310,12,372.0
1311,59,419.0
1312,97,457.0
1313,47,407.0
1314,84,444.0
1315,68,428.0
1316,14,374.0
1317,76,436.0
1318,5,365.0
1319,17,377.0
1320,20,380.0
1321,8,368.0
1322,97,457.0
1323,35,395.0
1324,44,404.0
1325,2,362.0
1326,81,441.0
1327,6,366.0
1328,41,401.0
1329,13,373.0
1330,56,416.0
1331,0,360.0
1332,72,432.0
1333,45,405.0
1334,25,385.0
1335,55,415.0
1336,62,422.0
1337,67,427.0
1338,82,442.0
1339,93,453.0
1340,59,419.0
1341,56,416.0
1342,62,422.0
1343,22,382.0
1344,59,419.0
1345,53,413.0
1346,84,444.0
1347,9,369.0
1348,54,414.0
1349,15,375.0
1350,5,365.0
1351,90,450.0
1352,55,415.0
1353,51,411.0
1354,6,366.0
1355,67,427.0
1356,52,412.0
1357,50,410.0
1358,64,424.0
1359,63,423.0
1360,92,452.0
1361,94,454.0
1362,72,432.0
1363,94,454.0
1364,21,381.0
1365,50,410.0
1366,49,409.0
1367,80,440.0
1368,28,388.0
1369,94,454.0
1370,22,382.0
1371,15,375.0
1372,14,374.0
1373,79,439.0
1374,52,412.0
1375,56,416.0
1376,53,413.0
1377,55,415.0
1378,7,367.0
1379,65,425.0
1380,32,392.0
1381,98,458.0
1382,80,440.0
1383,80,440.0
1384,4,364.0
1385,93,453.0
1386,56,416.0
1387,46,406.0
1388,45,405.0
1389,24,384.0
1390,10,370.0
1391,94,454.0
1392,29,389.0
1393,44,404.0
1394,63,423.0
1395,62,422.0
1396,6,366.0
1397,63,423.0
1398,27,387.0
1399,46,406.0
1400,80,440.0
1401,100,460.0
1402,100,460.0
1403,33,393.0
1404,88,448.0
1405,21,381.0
1406,95,455.0
1407,91,451.0
1408,60,420.0
1409,5,365.0
1410,56,416.0
1411,42,402.0
1412,96,456.0
1413,60,420.0
1414,49,409.0
1415,41,401.0
1416,89,449.0
1417,19,379.0
1418,34,394.0
1419,13,373.0
1420,94,454.0
1421,75,435.0
1422,79,439.0
1423,67,427.0
1424,41,401.0
1425,38,398.0
1426,5,365.0
1427,73,433.0
1428,4,364.0
1429,99,459.0
1430,13,373.0
1431,91,451.0
1432,5,365.0
1433,39,399.0
1434,88,448.0
1435,84,444.0
1436,29,389.0
1437,24,384.0
1438,68,428.0
1439,27,387.0
1440,51,411.0
1441,79,439.0
1442,37,397.0
1443,45,405.0
1444,81,441.0
1445,14,374.0
1446,83,443.0
1447,43,403.0
1448,5,365.0
1449,48,408.0
1450,0,360.0
1451,60,420.0
1452,9,369.0
1453,95,455.0
1454,45,405.0
1455,38,398.0
1456,43,403.0
1457,96,456.0
1458,63,423.0
1459,28,388.0
1460,74,434.0
1461,27,387.0
1462,5,365.0
1463,64,424.0
1464,88,448.0
1465,60,420.0
1466,6,366.0
1467,24,384.0
1468,78,438.0
1469,81,441.0
1470,38,398.0
1471,66,426.0
1472,44,404.0
1473,66,426.0
1474,6,366.0
1475,45,405.0
1476,81,441.0
1477,38,398.0
1478,22,382.0
1479,89,449.0
1480,58,418.0
1481,27,387.0
1482,45,405.0
1483,30,390.0
1484,30,390.0
1485,19,379.0
1486,60,420.0
1487,32,392.0
1488,65,425.0
1489,0,360.0
1490,15,375.0
1491,77,437.0
1492,44,404.0
1493,31,391.0
1494,76,436.0
1495,89,449.0
1496,60,420.0
1497,71,431.0
1498,84,444.0
1499,23,383.0
1500,82,442.0
1501,21,381.0
1502,55,415.0
1503,98,458.0
1504,17,377.0
1505,34,394.0
1506,27,387.0
1507,25,385.0
1508,0,360.0
1509,60,420.0
1510,65,425.0
1511,54,414.0
1512,77,437.0
1513,35,395.0
1514,32,392.0
1515,47,407.0
1516,94,454.0
1517,54,414.0
1518,39,399.0
1519,7,367.0
1520,58,418.0
1521,67,427.0
1522,90,450.0
1523,40,400.0
1524,88,448.0
1525,43,403.0
1526,41,401.0
1527,7,367.0
1528,43,403.0
1529,9,369.0
1530,28,388.0
1531,21,381.0
1532,70,430.0
1533,91,451.0
1534,77,437.0
1535,45,405.0
1536,39,399.0
1537,22,382.0
1538,24,384.0
1539,13,373.0
1540,57,417.0
1541,60,420.0
1542,53,413.0
1543,12,372.0
1544,42,402.0
1545,77,437.0
1546,76,436.0
1547,83,443.0
1548,82,442.0
1549,53,413.0
1550,40,400.0
1551,74,434.0
1552,76,436.0
1553,90,450.0
1554,57,417.0
1555,34,394.0
1556,78,438.0
1557,46,406.0
1558,60,420.0
1559,13,373.0
1560,41,401.0
1561,15,375.0
1562,57,417.0
1563,71,431.0
1564,96,456.0
1565,26,386.0
1566,0,360.0
1567,0,360.0
1568,83,443.0
1569,3,363.0
1570,28,388.0
1571,25,385.0
1572,77,437.0
1573,45,405.0
1574,51,411.0
1575,29,389.0
1576,35,395.0
1577,1,361.0
1578,49,409.0
1579,53,413.0
1580,19,379.0
1581,63,423.0
1582,11,371.0
1583,27,387.0
1584,72,432.0
1585,41,401.0
1586,24,384.0
1587,50,410.0
1588,16,376.0
1589,15,375.0
1590,11,371.0
1591,76,436.0
1592,64,424.0
1593,2,362.0
1594,46,406.0
1595,44,404.0
1596,29,389.0
1597,52,412.0
1598,98,458.0
1599,63,423.0
1600,57,417.0
1601,57,417.0
1602,86,446.0
1603,75,435.0
1604,45,405.0
1605,83,443.0
1606,39,399.0
1607,74,434.0
1608,4,364.0
1609,28,388.0
1610,70,430.0
1611,31,391.0
1612,57,417.0
1613,54,414.0
1614,92,452.0
1615,48,408.0
1616,89,449.0
1617,40,400.0
1618,78,438.0
1619,14,374.0
1620,75,435.0
1621,96,456.0
1622,25,385.0
1623,34,394.0
1624,20,380.0
1625,69,429.0
1626,60,420.0
1627,68,428.0
1628,29,389.0
1629,1,361.0
1630,74,434.0
1631,92,452.0
1632,19,379.0
1633,57,417.0
1634,90,450.0
1635,35,395.0
1636,31,391.0
1637,8,368.0
1638,42,402.0
1639,83,443.0
1640,92,452.0
1641,41,401.0
1642,88,448.0
1643,33,393.0
1644,75,435.0
1645,82,442.0
1646,28,388.0
1647,94,454.0
1648,27,387.0
1649,40,400.0
1650,45,405.0
1651,32,392.0
1652,12,372.0
1653,10,370.0
1654,59,419.0
1655,75,435.0
1656,92,452.0
1657,50,410.0
1658,17,377.0
1659,26,386.0
1660,42,402.0
1661,94,454.0
1662,82,442.0
1663,75,435.0
